Neuronal
Fri May 15 16:14:15 2020  accuracy: 0.0, running time: 0.03
Tue May 19 17:33:36 2020  accuracy: 0.576, running time: 0.12 - svc 1:10 | scale | C=5 | gamma=scale | kernel='rbf'

Tue May 19 20:39:19 2020  accuracy: 0.596, running time: 150.23 - svc 1: | scale | C=5 | gamma=scale | kernel='rbf'
Tue May 19 20:54:54 2020  accuracy: 0.608, running time: 0.12 - svc 1,2,3,4,5,6,9,10 | scale | C=5 | gamma=scale | kernel='rbf'

Tue May 19 22:00:13 2020  accuracy: 0.593, running time: 0.35 - neural random_state=1 | max_iter=200 | early_stopping=False | standardization scale
Wed May 20 10:05:49 2020  accuracy: 0.593, running time: 7.87 - neural random_state=1 | max_iter=200 | early_stopping=False | standardization scale | self.sr = 22050
Wed May 20 10:55:56 2020  accuracy: 0.584, running time: 0.38 - neural random_state=1 | max_iter=250 | early_stopping=False | standardization scale |'activation': 'relu' | 'solver': 'adam'

Wed May 20 11:11:02 2020  accuracy: 0.545, running time: 0.07 - knn | n_neighbors=3
Wed May 20 11:11:40 2020  accuracy: 0.54, running time: 0.07 - knn | n_neighbors=5
Wed May 20 11:12:06 2020  accuracy: 0.529, running time: 0.07 - knn | n_neighbors=20

Wed May 20 12:12:40 2020  accuracy: 0.76, running time: 0.15 - svc 40 mean mfcc | scale | C=5 | gamma=scale | kernel='rbf'
Wed May 20 13:21:31 2020  accuracy: 0.767, running time: 0.17 - svc 40 mean mfcc | scale | C=10 | gamma=auto | kernel='rbf'
Wed May 20 13:21:58 2020  accuracy: 0.767, running time: 0.2 - svc 40 mean mfcc | scale | C=15 | gamma=auto | kernel='rbf'
Wed May 20 13:23:25 2020  accuracy: 0.767, running time: 0.17 - svc 40 mean mfcc | scale | C=15 | gamma=scale | kernel='rbf'

Wed May 20 14:10:41 2020  accuracy: 0.593, running time: 0.4 - neural | random_state=1 | max_iter=200 
Wed May 20 14:11:31 2020  accuracy: 0.752, running time: 0.43 - neural 40 mean mfcc | random_state=1 | max_iter=200 

Wed May 20 14:20:00 2020  accuracy: 0.767, running time: 0.13 - svc 40 mean mfcc | scale | C=15 | gamma=scale | kernel='rbf'
Wed May 20 14:38:42 2020  accuracy: 0.767, running time: 0.18 - svc 40 mean mfcc | scale | C=15 | gamma=scale | kernel='rbf' |extract mffcs with (set_n_mfcc = 40 | set_n_fft = 2048 | set_hop_length = 512)
Wed May 20 15:09:06 2020  accuracy: 0.799, running time: 0.17 - svc 40 mean mfcc and 1,2,3,4,5,6,9,10 | scale | C=15 | gamma=scale | kernel='rbf' |extract mffcs with (set_n_mfcc = 40 | set_n_fft = 2048 | set_hop_length = 512)
Wed May 20 15:10:21 2020  accuracy: 0.777, running time: 0.17 - svc 40 mean mfcc and 1,2,3,4,5,6,9,10 | scale | C=5 | gamma=scale | kernel='rbf' |extract mffcs with (set_n_mfcc = 40 | set_n_fft = 2048 | set_hop_length = 512)
Wed May 20 15:16:06 2020  accuracy: 0.608, running time: 0.12 - svc 1,2,3,4,5,6,9,10 | scale | C=5 | gamma=scale | kernel='rbf'

